date,Open,High,Low,Close,Volume
2021-11-30 19:30:00,163.2385,163.7792,163.0519,163.4942,93934.0
2021-11-30 19:00:00,163.5531,163.6416,163.1993,163.1993,73795.0
2021-11-30 18:30:00,163.5826,163.7006,163.3762,163.5531,46805.0
2021-11-30 18:00:00,163.6219,163.7792,163.563,163.5924,83865.0
2021-11-30 17:30:00,163.4942,163.7792,163.4057,163.563,175253.0
2021-11-30 17:00:00,163.0322,163.73,162.9241,163.504,187124.0
2021-11-30 16:30:00,163.1895,163.2484,162.4622,163.0519,153185.0
2021-11-30 16:00:00,162.59,163.5433,162.4229,163.16,25049147.0
2021-11-30 15:30:00,160.6931,162.6784,160.2508,162.59,17327800.0
2021-11-30 15:00:00,161.4007,161.7939,160.6243,160.7029,7615563.0
2021-11-30 14:30:00,161.6759,162.0297,161.214,161.4155,6061738.0
2021-11-30 14:00:00,161.5187,162.0887,161.1157,161.6759,7028131.0
2021-11-30 13:30:00,160.9486,161.5481,160.8503,161.5187,5886070.0
2021-11-30 13:00:00,160.7815,160.9781,160.3294,160.9475,4500327.0
2021-11-30 12:30:00,160.6439,161.44,160.2656,160.7668,6609018.0
2021-11-30 12:00:00,159.7397,160.87,159.2532,160.6439,7942410.0
2021-11-30 11:30:00,160.2901,160.4277,159.2385,159.7397,8479259.0
2021-11-30 11:00:00,159.3859,160.6341,159.0616,160.3,11254024.0
2021-11-30 10:30:00,161.2435,161.7545,159.3663,159.3663,14092007.0
2021-11-30 10:00:00,159.3171,161.4007,159.2276,161.2435,14048329.0
2021-11-30 09:30:00,157.2433,159.5137,157.1745,159.3073,11675470.0
2021-11-30 09:00:00,156.8207,157.2532,156.5947,157.2237,215652.0
2021-11-30 08:30:00,156.1917,156.919,156.0246,156.8502,201651.0
2021-11-30 08:00:00,156.4668,157.0959,156.0246,156.2015,306361.0
2021-11-30 07:30:00,156.4964,156.5062,156.2409,156.3785,54589.0
2021-11-30 07:00:00,156.2703,156.6536,156.2703,156.4767,93446.0
2021-11-30 06:30:00,156.3883,156.6536,156.231,156.231,24267.0
2021-11-30 06:00:00,156.4964,156.4964,156.2409,156.3883,26929.0
2021-11-30 05:30:00,156.1917,156.4571,155.7789,156.4374,23256.0
2021-11-30 05:00:00,156.3686,156.3785,156.0148,156.1622,10882.0
2021-11-30 04:30:00,156.1033,156.3686,155.8379,156.3686,20546.0
2021-11-30 04:00:00,156.5062,156.8404,155.946,156.0639,48528.0
2021-11-29 19:30:00,157.7741,157.8724,157.7642,157.8724,25992.0
2021-11-29 19:00:00,157.7642,157.8036,157.7642,157.7937,20711.0
2021-11-29 18:30:00,157.7937,157.8232,157.7446,157.8134,12762.0
2021-11-29 18:00:00,157.607,157.8134,157.607,157.7642,24628.0
2021-11-29 17:30:00,157.666,157.6758,157.5578,157.607,5104.0
2021-11-29 17:00:00,157.7544,157.7839,157.6463,157.6463,17836.0
2021-11-29 16:30:00,157.7151,157.7839,157.4891,157.7446,42070.0
2021-11-29 16:00:00,157.7249,157.7839,157.3515,157.6954,8594614.0
2021-11-29 15:30:00,157.5775,157.7446,157.2335,157.4792,7862940.0
2021-11-29 15:00:00,158.0001,158.0886,157.5185,157.5922,3304981.0
2021-11-29 14:30:00,157.7348,158.2163,157.72,158.0001,2904306.0
2021-11-29 14:00:00,158.2458,158.3441,157.6463,157.7298,3035340.0
2021-11-29 13:30:00,157.9164,158.4227,157.8625,158.2458,3180196.0
2021-11-29 13:00:00,157.7741,157.951,157.6954,157.9166,2525503.0
2021-11-29 12:30:00,157.7986,158.1181,157.6266,157.7692,3503252.0
2021-11-29 12:00:00,157.6112,157.9412,157.4399,157.7986,4242076.0
2021-11-29 11:30:00,156.7814,157.6856,156.7126,157.607,3992641.0
2021-11-29 11:00:00,156.4767,156.978,156.2212,156.7814,3937422.0
2021-11-29 10:30:00,156.6684,156.8011,156.064,156.4669,5543743.0
2021-11-29 10:00:00,157.4792,157.7741,156.5947,156.6732,7213776.0
2021-11-29 09:30:00,156.634,157.8232,156.349,157.4891,13002471.0
2021-11-29 09:00:00,157.0664,157.1156,156.4472,156.6242,262367.0
2021-11-29 08:30:00,156.5259,157.1352,156.516,157.0664,306149.0
2021-11-29 08:00:00,156.0246,156.693,155.7986,156.516,512698.0
2021-11-29 07:30:00,155.9951,156.4276,155.9951,156.3981,78320.0
2021-11-29 07:00:00,156.2703,156.2998,155.7986,156.0148,117828.0
2021-11-29 06:30:00,156.3195,156.3686,156.0738,156.2507,24721.0
2021-11-29 06:00:00,156.4178,156.4866,156.1917,156.349,31647.0
2021-11-29 05:30:00,156.2605,156.4669,156.0836,156.4472,20989.0
2021-11-29 05:00:00,155.6806,156.2703,155.6806,156.1917,16389.0
2021-11-29 04:30:00,156.0738,156.0934,155.6315,155.6315,15677.0
2021-11-29 04:00:00,155.3956,156.2212,154.6978,156.0345,38392.0
2021-11-26 16:30:00,154.5799,154.6978,154.5602,154.6978,8973.0
2021-11-26 16:00:00,154.4521,154.5799,154.1179,154.5209,12849.0
2021-11-26 15:30:00,154.5012,154.57,154.3636,154.4521,26771.0
2021-11-26 15:00:00,154.6782,154.6782,154.3047,154.5504,27403.0
2021-11-26 14:30:00,154.7076,154.7371,154.5995,154.6585,24598.0
2021-11-26 14:00:00,154.7568,154.7961,154.6192,154.6978,59057.0
2021-11-26 13:30:00,154.7469,154.7962,154.1179,154.7469,146889.0
2021-11-26 13:00:00,154.1867,155.9657,154.0786,154.7763,7700314.0
2021-11-26 12:30:00,155.0418,155.1696,153.6757,154.1867,13121591.0
2021-11-26 12:00:00,155.376,155.5086,154.7764,155.0516,4960755.0
2021-11-26 11:30:00,154.7273,155.4693,154.5406,155.376,5522711.0
2021-11-26 11:00:00,154.9042,154.9091,154.2064,154.7371,7080196.0
2021-11-26 10:30:00,155.4349,155.5234,154.7273,154.9043,6020996.0
2021-11-26 10:00:00,156.0148,156.2409,154.8747,155.4251,7846881.0
2021-11-26 09:30:00,156.8256,157.6954,155.6413,156.0246,11351320.0
2021-11-26 09:00:00,156.2507,157.2335,156.2507,156.8797,378832.0
2021-11-26 08:30:00,156.6143,156.6438,156.1819,156.2309,219097.0
2021-11-26 08:00:00,156.7716,158.7628,156.0639,156.634,542595.0
