date,Open,High,Low,Close,Volume
2021-01-29 19:30:00,85.3,85.5,85.29,85.47,40116.0
2021-01-29 19:00:00,85.31,85.34,85.26,85.28,15941.0
2021-01-29 18:30:00,85.35,85.38,85.3,85.33,17008.0
2021-01-29 18:00:00,85.43,85.49,85.35,85.35,21614.0
2021-01-29 17:30:00,85.49,85.51,85.4,85.41,21141.0
2021-01-29 17:00:00,85.5,85.54,85.44,85.49,27546.0
2021-01-29 16:30:00,85.55,85.55,85.2898,85.5,38231.0
2021-01-29 16:00:00,85.62,85.75,85.5,85.52,3326965.0
2021-01-29 15:30:00,86.09,86.47,85.56,85.61,4558406.0
2021-01-29 15:00:00,85.4201,86.31,85.4201,86.1,2598872.0
2021-01-29 14:30:00,85.37,85.52,85.02,85.43,2426686.0
2021-01-29 14:00:00,85.39,85.95,85.34,85.36,1892906.0
2021-01-29 13:30:00,86.22,86.25,85.25,85.3886,2219005.0
2021-01-29 13:00:00,85.5,86.32,85.33,86.23,2459359.0
2021-01-29 12:30:00,86.3,86.4,85.08,85.5,4562781.0
2021-01-29 12:00:00,87.33,87.39,86.27,86.31,2616985.0
2021-01-29 11:30:00,86.91,87.39,86.42,87.34,2979838.0
2021-01-29 11:00:00,87.84,88.03,86.88,86.9199,2092874.0
2021-01-29 10:30:00,88.15,88.23,86.8401,87.84,3889569.0
2021-01-29 10:00:00,87.19,88.33,86.66,88.13,4541432.0
2021-01-29 09:30:00,87.56,87.98,86.13,87.19,5304614.0
2021-01-29 09:00:00,87.63,87.671,87.3,87.43,79423.0
2021-01-29 08:30:00,87.2,87.78,87.19,87.63,72020.0
2021-01-29 08:00:00,87.0622,87.73,87.0,87.2,126791.0
2021-01-29 07:30:00,87.52,87.52,87.11,87.49,38551.0
2021-01-29 07:00:00,87.26,87.54,87.08,87.54,41467.0
2021-01-29 06:30:00,87.09,87.3,86.76,86.99,5682.0
2021-01-29 06:00:00,86.95,87.02,86.95,87.02,2952.0
2021-01-29 05:30:00,86.6,86.98,86.6,86.76,2260.0
2021-01-29 05:00:00,86.4,86.64,86.25,86.43,11558.0
2021-01-29 04:30:00,86.6,86.84,86.45,86.55,6889.0
2021-01-29 04:00:00,86.98,87.02,86.55,86.55,11006.0
2021-01-28 19:30:00,87.54,87.59,87.42,87.45,27101.0
2021-01-28 19:00:00,87.71,87.71,87.53,87.53,22970.0
2021-01-28 18:30:00,87.72,87.74,87.61,87.71,22525.0
2021-01-28 18:00:00,87.7,87.72,87.52,87.72,21172.0
2021-01-28 17:30:00,87.68,87.72,87.52,87.7099,72502.0
2021-01-28 17:00:00,87.76,87.78,87.52,87.68,22813.0
2021-01-28 16:30:00,87.37,87.76,87.36,87.76,33594.0
2021-01-28 16:00:00,87.52,87.52,87.36,87.47,2036615.0
2021-01-28 15:30:00,87.76,87.96,87.38,87.515,3826420.0
2021-01-28 15:00:00,88.43,88.43,87.71,87.765,2105236.0
2021-01-28 14:30:00,88.38,88.69,88.13,88.4301,2079087.0
2021-01-28 14:00:00,88.405,88.48,87.83,88.37,2044450.0
2021-01-28 13:30:00,88.65,88.85,88.3901,88.41,1839774.0
2021-01-28 13:00:00,88.45,88.69,87.95,88.65,1969036.0
2021-01-28 12:30:00,88.065,88.6799,87.8,88.44,2734260.0
2021-01-28 12:00:00,87.97,88.07,87.3,88.0617,2550389.0
2021-01-28 11:30:00,87.675,88.27,87.5,87.97,2385165.0
2021-01-28 11:00:00,88.105,88.55,87.5573,87.675,2833817.0
2021-01-28 10:30:00,88.86,88.91,87.8599,88.105,2838276.0
2021-01-28 10:00:00,88.04,89.12,87.71,88.81,3687859.0
2021-01-28 09:30:00,89.83,89.88,87.825,88.03,5059012.0
2021-01-28 09:00:00,89.81,90.29,89.55,89.75,222532.0
2021-01-28 08:30:00,88.39,89.87,88.25,89.87,117362.0
2021-01-28 08:00:00,87.95,89.23,87.85,88.46,140402.0
2021-01-28 07:30:00,88.9,89.24,88.8,89.24,73663.0
2021-01-28 07:00:00,87.78,88.9,87.78,88.8,74574.0
2021-01-28 06:30:00,87.5,87.97,87.5,87.83,3501.0
2021-01-28 06:00:00,87.51,87.8,87.07,87.5,9765.0
2021-01-28 05:30:00,87.59,87.8,87.47,87.65,7808.0
2021-01-28 05:00:00,87.0,87.77,87.0,87.77,12280.0
2021-01-28 04:30:00,86.85,87.08,86.8,87.01,21656.0
2021-01-28 04:00:00,88.55,88.55,86.92,86.92,23774.0
2021-01-27 19:30:00,88.41,88.53,88.18,88.4,51039.0
2021-01-27 19:00:00,88.5,88.8,88.0,88.48,26333.0
2021-01-27 18:30:00,88.66,88.98,88.2,88.4,37681.0
2021-01-27 18:00:00,89.2,89.2,88.52,88.55,57752.0
2021-01-27 17:30:00,88.9999,89.1,88.8,89.1,33561.0
2021-01-27 17:00:00,88.6709,89.22,88.67,89.0,63751.0
2021-01-27 16:30:00,88.68,88.97,88.25,88.7,100972.0
2021-01-27 16:00:00,88.84,89.01,87.65,88.7,1580553.0
2021-01-27 15:30:00,88.59,89.01,87.9,88.9,5001814.0
2021-01-27 15:00:00,88.97,89.29,88.43,88.59,3106376.0
2021-01-27 14:30:00,89.87,89.97,88.55,88.94,3971598.0
2021-01-27 14:00:00,90.705,91.19,89.856,89.8601,2185472.0
2021-01-27 13:30:00,91.77,91.86,90.53,90.69,1758721.0
2021-01-27 13:00:00,91.82,91.86,91.08,91.77,2225448.0
2021-01-27 12:30:00,90.59,91.88,90.345,91.8033,2910640.0
2021-01-27 12:00:00,89.905,91.05,89.55,90.5967,3090733.0
2021-01-27 11:30:00,89.56,90.68,89.23,89.9106,3107291.0
2021-01-27 11:00:00,90.07,90.34,89.31,89.575,3060913.0
2021-01-27 10:30:00,90.04,90.29,88.72,90.1,4975222.0
2021-01-27 10:00:00,89.2675,90.42,88.92,90.0606,6817196.0
2021-01-27 09:30:00,91.1,91.11,86.22,89.287,13946376.0
2021-01-27 09:00:00,92.1802,92.24,91.0,91.06,323153.0
2021-01-27 08:30:00,91.04,92.22,90.78,92.2,206000.0
2021-01-27 08:00:00,93.13,93.5,89.88,91.1,738727.0
2021-01-27 07:30:00,92.24,92.5,91.8,91.99,132427.0
2021-01-27 07:00:00,92.1,93.69,92.04,92.2,147780.0
2021-01-27 06:30:00,91.78,92.2,91.65,92.2,23351.0
2021-01-27 06:00:00,92.2,92.2,91.66,92.0,30283.0
2021-01-27 05:30:00,92.91,92.93,92.0,92.2,32302.0
2021-01-27 05:00:00,93.0,93.0,91.97,92.85,23608.0
2021-01-27 04:30:00,93.81,93.81,93.0,93.0,20689.0
2021-01-27 04:00:00,94.0,94.12,93.78,94.0,22441.0
2021-01-26 19:30:00,93.99,94.19,93.75,93.78,127124.0
2021-01-26 19:00:00,94.22,94.45,93.88,93.97,107165.0
2021-01-26 18:30:00,94.7,94.8,93.82,94.22,155617.0
2021-01-26 18:00:00,94.56,95.0,94.48,94.7,233778.0
2021-01-26 17:30:00,93.17,94.62,93.17,94.57,425825.0
2021-01-26 17:00:00,93.57,93.8,92.75,93.16,652718.0
2021-01-26 16:30:00,94.99,95.25,92.35,93.61,1718434.0
2021-01-26 16:00:00,94.71,99.98,93.0,95.0,6971873.0
2021-01-26 15:30:00,94.95,95.3,94.61,94.71,4867345.0
2021-01-26 15:00:00,94.81,95.515,94.74,94.96,3347989.0
2021-01-26 14:30:00,94.6,94.9,94.4823,94.81,1992332.0
2021-01-26 14:00:00,94.925,94.98,94.576,94.6199,2023546.0
2021-01-26 13:30:00,95.23,95.27,94.89,94.93,1719665.0
2021-01-26 13:00:00,94.85,95.34,94.76,95.2439,1554020.0
2021-01-26 12:30:00,95.09,95.235,94.72,94.87,1356805.0
2021-01-26 12:00:00,94.43,95.25,94.38,95.1,1685218.0
2021-01-26 11:30:00,94.75,94.96,94.35,94.4399,1826259.0
2021-01-26 11:00:00,95.06,95.58,94.75,94.7599,2908159.0
2021-01-26 10:30:00,94.62,95.4,94.58,95.059,2822337.0
2021-01-26 10:00:00,94.51,95.7171,94.39,94.61,6747774.0
2021-01-26 09:30:00,94.84,95.25,93.63,94.5,5833585.0
2021-01-26 09:00:00,95.029,95.25,94.8,94.85,166730.0
2021-01-26 08:30:00,94.95,95.09,94.9,95.0,67193.0
2021-01-26 08:00:00,94.3999,95.2,94.28,94.95,155052.0
2021-01-26 07:30:00,94.71,95.2,94.51,95.08,87241.0
2021-01-26 07:00:00,94.24,94.95,94.2,94.68,43124.0
2021-01-26 06:30:00,94.13,94.35,94.13,94.15,3389.0
2021-01-26 06:00:00,94.15,94.28,94.13,94.18,936.0
2021-01-26 05:30:00,94.47,94.47,94.0,94.0,6562.0
2021-01-26 05:00:00,94.1,94.48,94.1,94.48,1831.0
2021-01-26 04:30:00,94.22,94.34,94.1,94.14,7956.0
2021-01-26 04:00:00,94.2,94.4,94.13,94.3,9184.0
2021-01-25 19:30:00,94.14,94.18,94.01,94.1,24550.0
2021-01-25 19:00:00,94.12,94.2,94.08,94.14,10398.0
2021-01-25 18:30:00,94.17,94.2,94.13,94.17,13637.0
2021-01-25 18:00:00,94.17,94.17,94.08,94.17,16464.0
2021-01-25 17:30:00,94.18,94.2,94.15,94.15,17376.0
2021-01-25 17:00:00,94.23,94.25,94.15,94.19,15132.0
2021-01-25 16:30:00,94.22,94.24,94.16,94.22,25836.0
2021-01-25 16:00:00,94.13,94.45,94.12,94.22,1632328.0
2021-01-25 15:30:00,93.67,94.21,93.6101,94.1499,4260113.0
2021-01-25 15:00:00,94.18,94.21,93.66,93.6882,2220979.0
2021-01-25 14:30:00,93.685,94.35,93.615,94.19,2228901.0
2021-01-25 14:00:00,94.32,94.3205,93.57,93.69,1755100.0
2021-01-25 13:30:00,94.16,94.43,94.0101,94.314,1637970.0
2021-01-25 13:00:00,93.56,94.28,93.4101,94.17,2473833.0
2021-01-25 12:30:00,92.87,93.64,92.76,93.57,2129536.0
2021-01-25 12:00:00,93.3,93.6,92.48,92.87,2687352.0
2021-01-25 11:30:00,92.91,93.42,92.76,93.29,2551734.0
2021-01-25 11:00:00,92.64,93.31,91.4,92.89,5611184.0
2021-01-25 10:30:00,94.98,95.01,92.63,92.65,4881460.0
2021-01-25 10:00:00,95.13,95.74,94.54,94.9799,5912283.0
2021-01-25 09:30:00,94.14,95.34,94.06,95.1101,7039342.0
2021-01-25 09:00:00,94.25,94.44,94.04,94.17,202143.0
2021-01-25 08:30:00,94.14,94.25,93.99,94.23,97097.0
2021-01-25 08:00:00,93.96,94.35,92.79,94.16,179474.0
2021-01-25 07:30:00,94.2,94.36,94.06,94.11,38509.0
2021-01-25 07:00:00,93.95,94.35,93.9,94.21,79118.0
