date,Open,High,Low,Close,Volume
2019-12-31 19:30:00,150.5674,150.6724,150.5292,150.6724,12788.0
2019-12-31 19:00:00,150.7106,150.7106,150.6056,150.6056,6920.0
2019-12-31 18:30:00,150.6342,150.701,150.6342,150.701,1753.0
2019-12-31 18:00:00,150.6533,150.6533,150.6342,150.6342,715.0
2019-12-31 17:30:00,150.6342,150.701,150.6247,150.6533,440.0
2019-12-31 17:00:00,150.7488,150.7488,150.6247,150.6247,1953.0
2019-12-31 16:30:00,150.6438,150.7583,150.6056,150.7583,8049.0
2019-12-31 16:00:00,150.5292,150.8347,150.491,150.6247,4614570.0
2019-12-31 15:30:00,150.114,150.596,150.071,150.3288,2646202.0
2019-12-31 15:00:00,150.1283,150.248,150.0329,150.1045,825869.0
2019-12-31 14:30:00,149.9517,150.1665,149.9088,150.1326,496262.0
2019-12-31 14:00:00,149.8563,149.947,149.632,149.947,456193.0
2019-12-31 13:30:00,149.7465,149.8801,149.7179,149.854,348141.0
2019-12-31 13:00:00,149.7704,149.8228,149.6902,149.7435,305396.0
2019-12-31 12:30:00,149.7322,149.8133,149.7083,149.7656,306980.0
2019-12-31 12:00:00,149.756,149.861,149.5556,149.7274,477721.0
2019-12-31 11:30:00,149.4554,149.8801,149.3361,149.7497,888721.0
2019-12-31 11:00:00,149.7179,149.8801,149.4506,149.4581,639801.0
2019-12-31 10:30:00,149.7513,149.8515,149.5556,149.7179,653395.0
2019-12-31 10:00:00,150.0997,150.2047,149.7417,149.7465,763122.0
2019-12-31 09:30:00,149.7179,150.4624,149.3742,150.0997,1440058.0
2019-12-31 09:00:00,149.861,149.9565,149.6988,149.6988,17698.0
2019-12-31 08:30:00,150.1283,150.1857,149.7656,149.7656,16640.0
2019-12-31 08:00:00,150.1188,150.5292,150.0615,150.1092,3315.0
2019-12-31 07:30:00,150.1188,150.1856,150.1188,150.1856,400.0
2019-12-31 07:00:00,150.3383,150.3383,150.0997,150.0997,500.0
2019-12-30 19:30:00,150.3669,150.5292,150.3669,150.4051,1597.0
2019-12-30 19:00:00,150.4624,150.4624,150.4624,150.4624,183.0
2019-12-30 18:30:00,150.3669,150.5197,150.3669,150.5197,3749.0
2019-12-30 18:00:00,150.4051,150.4338,150.3669,150.3669,3762.0
2019-12-30 17:30:00,150.3956,150.4051,150.3956,150.4051,384.0
2019-12-30 17:00:00,150.3956,150.3956,150.3574,150.386,1154.0
2019-12-30 16:30:00,150.2906,150.4242,150.2619,150.3383,9641.0
